pru
Integration time [ms]:   0,150
Averaging Nr. [scans]: 100
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 7416147SP
Wave   ;Sample   ;Dark     ;Reference
[nm]   ;[counts] ;[counts] ;[counts] 

230,218;  292,757;  290,315;  293,845
230,311;  318,357;  319,885;  318,565
230,404;  313,637;  309,855;  312,875
230,497;  320,677;  317,385;  315,715
230,591;  338,117;  333,426;  335,355
230,684;  327,507;  326,486;  329,355
230,777;  316,147;  311,736;  314,765
230,870;  315,917;  313,326;  316,955
230,964;  315,057;  310,885;  314,745
231,057;  341,807;  342,496;  343,475
231,150;  333,727;  331,695;  332,715
231,243;  332,287;  330,635;  332,775
231,336;  334,177;  331,375;  331,335
231,430;  319,767;  316,496;  317,715
231,523;  328,817;  324,516;  326,785
231,616;  309,567;  305,445;  309,685
231,709;  345,177;  328,065;  330,025
231,802;  318,587;  300,945;  301,885
231,895;  316,187;  299,836;  300,315
231,988;  327,837;  315,655;  318,535
232,082;  312,987;  298,155;  302,425
232,175;  316,917;  302,155;  306,175
232,268;  319,507;  301,266;  305,345
232,361;  318,307;  304,806;  307,515
232,454;  336,087;  322,396;  323,025
232,547;  334,477;  318,716;  322,655
232,640;  310,837;  296,766;  294,035
232,733;  333,687;  314,116;  323,045
232,826;  307,467;  288,915;  295,035
232,919;  330,497;  313,826;  312,665
233,012;  306,747;  293,646;  292,775
233,105;  312,697;  294,766;  298,815
233,199;  316,087;  299,875;  304,045
233,292;  309,607;  293,475;  296,235
233,385;  279,187;  263,426;  262,225
233,478;  310,957;  293,885;  295,685
233,571;  339,627;  324,586;  327,675
233,664;  321,187;  305,996;  308,435
233,757;  295,367;  280,796;  281,395
233,850;  298,427;  282,255;  285,825
233,943;  307,277;  290,896;  292,195
234,035;  319,677;  300,576;  302,355
234,128;  297,417;  281,836;  283,945
234,221;  314,727;  297,665;  298,245
234,314;  324,667;  304,915;  311,975
234,407;  325,117;  302,935;  309,075
234,500;  301,247;  277,625;  281,875
234,593;  304,967;  287,095;  285,735
234,686;  308,327;  293,746;  293,765
234,779;  308,617;  291,266;  293,165
234,872;  293,987;  281,806;  281,565
234,965;  306,157;  292,806;  290,795
235,058;  293,157;  274,155;  276,215
235,150;  308,987;  285,776;  290,805
